timestamp,revid,parentid,sock,user,page,message
2016-01-05T00:39:20+00:00,698262893,698262638,1,MunirUtubi,Saudi-led intervention in the Yemeni civil war,
2016-01-05T00:36:49+00:00,698262638,698262497,1,MunirUtubi,Saudi-led intervention in the Yemeni civil war,
2016-01-05T00:35:42+00:00,698262497,698262297,1,MunirUtubi,Saudi-led intervention in the Yemeni civil war,
2016-01-05T00:33:49+00:00,698262297,698247738,1,MunirUtubi,Saudi-led intervention in the Yemeni civil war,Mujtahidd 3 Dec 2015  https://twitter.com/mujtahidd/status/672528555713130496
2016-01-05T00:31:23+00:00,698262052,0,1,MunirUtubi,User talk:MunirUtubi,[[WP:AES|←]]Created page with 'MunirUtubi'
2016-01-05T00:31:01+00:00,698262025,0,1,MunirUtubi,User:MunirUtubi,[[WP:AES|←]]Created page with 'MunirUtubi'
2016-01-05T19:24:11+00:00,698379892,698379149,1,Intra3829,Saudi-led intervention in the Yemeni civil war,Mental Midgets think they can brainwash the West also? Generals & Colonels dead.  How many soldiers die for every Colonel & General in any war?  We have to believe Bin Salman source that disrespects his own soldiers by suppressing news of their death
2016-01-05T19:18:44+00:00,698379149,698360470,1,Intra3829,Saudi-led intervention in the Yemeni civil war,"2000 Saudi soldiers died in the war, according to Mujtahidd the leading source for the facts in Saudi Arabia, http://english.al-akhbar.com/node/4345  If it wasn't for the death of the high profile Generals & Colonels, Saudi will claim no one died"
2016-01-05T19:07:13+00:00,698377737,698377181,1,Intra3829,Wikipedia:Sockpuppet investigations/MunirUtubi,/* Comments by other users */ add ref regarding the systematic beheading of thought criminals
2016-01-05T19:02:41+00:00,698377181,698377017,1,Intra3829,Wikipedia:Sockpuppet investigations/MunirUtubi,
2016-01-05T19:01:18+00:00,698377017,698366376,1,Intra3829,Wikipedia:Sockpuppet investigations/MunirUtubi,/* 05 January 2016 */
2016-01-05T16:39:59+00:00,698358520,698331285,1,Intra3829,Saudi-led intervention in the Yemeni civil war,"2000 Saudi soldiers died in the war, according to Saudi local sources.  Sectarian news bans apply in the Kingdom, keep them there"
2016-01-05T16:31:28+00:00,698357428,0,1,Intra3829,User talk:Intra3829,[[WP:AES|←]]Created page with 'Intra3829'
2016-01-05T16:31:13+00:00,698357398,0,1,Intra3829,User:Intra3829,[[WP:AES|←]]Created page with 'Intra3829'
2016-01-05T04:08:01+00:00,698284344,698262893,0,Bunchen27,Saudi-led intervention in the Yemeni civil war,Outdated + Irrelevant map
2016-01-05T10:22:50+00:00,698318340,698284344,0,EkoGraf,Saudi-led intervention in the Yemeni civil war,Masdar is a Syrian pro-Assad/Iranian news source so its not that much reliable when it comes to casualty figures. Twitter generally not accepted as a source by Wikipedia
2016-01-05T16:24:06+00:00,698356466,698262052,0,HostBot,User talk:MunirUtubi,"/* MunirUtubi, you are invited to the Teahouse! */ new section"
2016-01-05T16:54:39+00:00,698360470,698358520,0,Elspamo4,Saudi-led intervention in the Yemeni civil war,"Undid revision 698358520 by [[Special:Contributions/Intra3829|Intra3829]] ([[User talk:Intra3829|talk]]) Al Masdar is not reliable. If it was reported in local Saudi news, then cite those"
2016-01-05T12:44:56+00:00,698331285,698330550,0,Mr.User200,Saudi-led intervention in the Yemeni civil war,
2016-01-05T11:17:34+00:00,698322933,698320710,0,80.13.20.202,Saudi-led intervention in the Yemeni civil war,
